novelID,title,view,good,description,tags,thumbnailURL
192608,2회차 SSS+급 특전으로 무쌍 찍습니다!,439014,21764,"빙의당했고 죽었다. \n그리고 기적같이 찾아온 2회차.\n◈총합 점수: 575,000 포인트\n◈운명 시스템의 모든 기능이 개방됩니다.\n◈보유 중인 특성 중 몇 개가 레벨 조정 뒤 다음 회차까지 이어집니다.\n◈SSS+특전이 부여됩니다.\n[2회차 시작으로 인한 특전을 부여합니다.]\n[고유능력 아라한의 계약서가 진정한 힘을 해방합니다.]\n""…?""\n뭔가 전생에 비해서 좀 많다…?\n표지는 ai를 통해 제작했습니다!!\n혹 관련해 문제가 될 시 작가에게 책임이 있습니다!\n표지 상업적 이용 가능합니다.",#현대판타지/#라이트노벨/#현대/#하렘/#먼치킨/#아카데미/#성장/#착각/#상태창,https://image.novelpia.com/imagebox/cover/bea7a3f35355e62671919dc63266fd6d_389254_ori.wimg
51066,절대 엘드미아 에가를 건드리지 마라,12838455,991611,판타지 세계로 환생했다. 기껏 다시 태어났으니 한 번 더 열심히 살기로 마음 먹었다. 그렇다고는 해도 8살 때 마을이 다 불타 없어지는 건 존나 선 넘었다. 존나 선 쎄게 넘었다고!,#판타지/#전생/#중세/#하렘/#환생,https://image.novelpia.com/imagebox/cover/53b3b1e4467476eedf4a52d466f90567_478792_ori.wimg
177303,부인은 밀밭에서 기다렸다,2565171,183926,"정략혼이었다.\n하여 신혼 첫날 밤 도망쳤다.\n그리 이름까지 버리고 10년을 살다, 부친의 부고 소식에 다시 집을 찾아갔다.\n그곳에는 이미 떠났으리라 생각했던, 딱 한 번 얼굴을 봤던 아내가 있었다.\n여전히 아름다운 모습으로.",#로맨스/#판타지/#순애/#오해,https://image.novelpia.com/imagebox/cover/3d57c5021270e305c34c3a8883054671_402217_ori.wimg
98920,황금 토템으로 살아가는 방법,6035761,472517,"트러블이 가득한 세계를 살아가기 위해 필요한 세 가지. 지식, 동료, 금전운.\n라일라 황녀의 새로운 일러스트입니다! 저작권은 작가에게 있습니다!",#판타지/#라이트노벨/#전생/#아카데미,https://image.novelpia.com/imagebox/cover/17e794839cfe7f901757bef6989d7be7_126766_ori.wimg
189701,떡협지 속 칼잡이,1027937,67844,떡협지 속에 빙의한 지 한 달.\n주인공이 실종됐다.\n타이포는 화려한비밀 님께서 만들어주셨습니다!,#무협/#하렘/#써줘용/#천재/#약피폐/#후회/#집착/#얀데레/#성장,https://image.novelpia.com/imagebox/cover/c222a1132cb8e5494ddf6c4b12d75fca_389402_ori.wimg
200574,아카데미에 야생인이 들어왔다,206082,13177,보통 소설을 보면 도시에서 시작하는데 나는 숲에 떨어졌다.\n(해당 표지는 WEB UI를 통해 제작했으며 상업적 이용이 가능하고 문제 발생 시 모든 책임은 작가에게 있습니다),#판타지/#하렘/#아카데미/#착각/#성장형먼치킨,https://image.novelpia.com/imagebox/cover/24033c412cb4ce13436a36f673cb7e7a_242442_ori.wimg
176928,뒷골목 님프의 도시,1191624,133485,"세상에 게이트가 열린지 10년.\n만년 D급 헌터 하일도는 21세기에 떨어진 님프 오이노이를 주웠다.\n""님프가 뭔데?""\n표지는 'sango'...!!! 상어노이 님께서 제작해주셨습니닷...! 저 미츄리에게 저작권이 있는 것입니닷...!!!",#현대판타지/#판타지/#현대/#일상/#헌터/#테이머/#러브코미디,https://image.novelpia.com/imagebox/cover/7c7319f4334ba3bed2c634f1b24f23e3_355160_ori.wimg
192169,거짓말이 현실이 되어버렸다,622624,32843,"25년을 거짓으로 점철된 인생을 살아왔다.\n잠에서 깬 어느 날, 모든 거짓과 망상이 현실이 되었다.\n*표지는 ai 그림으로 제작되었으며, 상업적 이용이 가능합니다",#현대/#일상/#부자/#먼치킨/#천재/#돈지랄,https://image.novelpia.com/imagebox/cover/932ac18429a9ea96af7c04a403c488dd_270896_ori.wimg
195461,전쟁영웅 가문에 빙의했다,344605,13972,그러니까 나도 전쟁영웅이 되란다. 세상에.\n까짓것 해보자고. 전쟁영웅. 좀 다르게.\n[ 표지는 web ui 로 제작하였습니다. 문제 발생시 책임은 작가에게 있습니다 ],#판타지/#하렘/#빙의/#아카데미/#유쾌/#착각/#전쟁,https://image.novelpia.com/imagebox/cover/345d393ad19fc43598f142be28f1c346_472949_ori.wimg
195317,"메인 스토리 시작까지 100,000,000년",365207,31076,"보던 소설 속으로 들어왔다. \n그런데...\n""공룡이 왜 있어 X발.""\n대체 어느 시대로 들어온 거야?",#판타지/#일상/#TS/#먼치킨/#고대/#성장/#생존,https://image.novelpia.com/imagebox/cover/6d4c68655f4a555d1607031cf9a8b9cf_413766_ori.wimg
173812,성기사가 성물을 독차지함,3292926,153363,"게임 캐릭터로 빙의했다\n모든 게임 속 특전을 다 아는 내가.\n//\n표지는 'webui' 를 이용해 생성한 AI 일러스트로, 상업적 이용이 가능합니다. 법적 문제 발생시 책임 소재는 작가에게 있습니다.",#판타지/#라이트노벨/#중세/#하렘/#남성향/#먼치킨/#성장/#집착/#아카데미/#빙의,https://image.novelpia.com/imagebox/cover/43b3826f78d9207e05bd95dfd9116b8c_410790_ori.wimg
118218,아카데미 사기 룬을 얻었다,7622835,451275,[단검] 룬 하나 갖고 있는 평범한 사람에 빙의했다.\n원작 히든피스에 따라 7개의 룬을 직접 얻어냈더니..\n[룬 사냥꾼]이라는 사기 룬이 생겨버렸다.,#판타지/#현대/#하렘/#현대판타지/#아카데미/#착각/#성장/#상태창/#먼치킨,https://image.novelpia.com/imagebox/cover/3222a7dca092f652ef8c736a26b73a61_379822_ori.wimg
193562,섞일 수 없는 이종족 아내들,1681506,106134,"일부다처제가 폐지되었다.\n...더는 우리가 강제로 묶여있지 않아도 괜찮았다.\n(연재는 매일하지만, 간혹 휴재를 하기에 비정기로 체크해뒀습니다.)",#판타지/#하렘/#후회/#집착/#피폐/#캣파이트/#얀데레/#성장,https://image.novelpia.com/imagebox/cover/fe42d0d1596dc4c0700340a941c435d7_446574_ori.wimg
45208,천하제일인의 소꿉친구,25073573,1480672,헛짓거리 하지 말고 딱 그 정도 위치라도 얻어보자.,#무협/#판타지/#라이트노벨/#하렘/#회귀,https://image.novelpia.com/imagebox/cover/9dea389d3b7947be223019f2adc461fb_151403_ori.wimg
190436,인기 여배우에게 집착 받는 천재작가가 되었다,896419,40206,여배우가 수상할 정도로 나를 좋아해.\n*표지는 AI로 제작되었으며 상업적 사용이 가능하고 발생하는 모든 책임은 작가에게 있습니다.*,#현대/#써줘용/#라이트노벨/#하렘/#드라마/#일상/#천재/#연예인/#착각/#집착,https://image.novelpia.com/imagebox/cover/f46e79a40052f70a7a39c1a8070d7bc8_294897_ori.wimg
146019,주인공 일행이 지나치게 성실하다,3600530,434638,일본 개발사에서 제작한 스팀펑크 테마의 JRPG에 빙의하였다.\n그리고 어쩌다보니 악당 진영의 간부가 되어버리고 말았다.\n그런데 주인공 일행이 지나치게 성실하다.\n*본 작품의 표지는 노벨피아에서 제공해주셨습니다. 작품 내의 일러스트의 저작권은 작가에게 있습니다.,#판타지/#전생/#TS/#우정/#스팀펑크/#가스램프판타지/#벨에포크/#아카데미/#착각/#루프,https://image.novelpia.com/imagebox/cover/0766e514310da4d48f36a25f191871c8_398321_ori.wimg
156911,마나 살 돈 없어서 인방함,1806599,155830,"영문 모를 판타지 세계로 전생했지만, 마왕으로 몰린 나는 끝끝내 두 번째 죽음을 맞이했다.\n그리고 새로 태어난 이번 세상에선 마법을 쓰려면 세금을 내라한다.\n[한국마력공사에서 님께 청구서를 발송하였습니다. 결제기한 내 납부 부탁드립니다.\n 청구목적: 무허가 긴급 하위서클(3) 마법 작성\n 청구금액: 481,738원\n 결제기한: 2051/01/31\n청구 내역에 대한 문의는 청구업체로 연락바랍니다.]\n1부(0~31) - '레거시 오브 레전드' (完)\n2부(32~200) - '월드 오브 아르세리아' (完)\n3부(201~ ) - '세피론 아카데미 & 한국대학교'\n※표지 및 삽화는 Stable Diffusion으로 제작했습니다. 본 이미지는 상업적 이용이 가능하며, 문제가 될 시 책임은 작가 본인에게 있음을 알려드립니다. 타이포그래피는 화려한비밀님이 작업해주셨습니다.",#현대판타지/#일상/#TS/#인터넷방송/#약피폐/#먼치킨/#노맨스/#유년기/#가상현실게임,https://image.novelpia.com/imagebox/cover/d85bbddd86c863d749363831dda85415_182106_ori.wimg
119597,아카데미 훈수빌런이 되다,12730171,973523,"국뽕 이능력 라노벨에 팩폭리뷰를 했다가 빙의당했다.\n악의 조직 간부가 된 내게 주어진 임무는 하나.\n히로인 꼬시기.\n""어, 이능력 그렇게 쓰는 거 아닌데.""\n히로인들에게 이능력을 훈수했더니 뭔가가 잘못되기 시작했다.\n※ 본 작품의 일러스트는 상업용 외주작입니다.\n※ 저작권은 작가 별꽃라떼에게 있습니다.\n※ 정식 타이포가 있는 건 노벨피아 제공 표지입니다. 저작권은 노벨피아에 있습니다.",#라이트노벨/#하렘/#현대판타지/#아카데미/#빌런/#빙의/#집착/#먼치킨,https://image.novelpia.com/imagebox/cover/0e880a621a6efe22e3f5d7cf700b04e8_279860_ori.wimg
156655,아카데미 천재지휘관이 되었다,1572259,84461,"""고아는 제국의 장군이 될 수 없다.""\n""그걸 누가 정했습니까?""\n""정하지는 않았지만, 그게 상식이다.""\n""그 상식은 제가 부수고 올라갈 겁니다.""\n작품 표지는 노벨 AI를 이용해 제작된 상업적 이용이 가능한 표지입니다. \n타이포그래피는 '화려한비밀'님이 제작해주셨습니다.\n문제 시 책임은 작가에게 있습니다.",#판타지/#전생/#중세/#하렘/#전략/#정치/#경영,https://image.novelpia.com/imagebox/cover/4d3f233b5f964698fd76aa2345aba702_630391_ori.wimg
143227,제갈세가의 치킨 천재,2293696,127356,제갈세가의 막내 아들.\n천마에 의해 회귀당하다.\n*사용하는 표지들은 ng님과의 외주 혹은 노벨피아에서 제공받은 표지만 사용합니다. 저작권은 작가 혹은 노벨피아 측에 있습니다.,#무협/#프렌차이즈/#치킨/#요리/#먼치킨/#경영/#정치,https://image.novelpia.com/imagebox/cover/65a5374b64766197b27d0b5446398b11_329722_ori.wimg
